"ID","Nombre","Descripción","Etiqueta","Hora","Fecha"
"2","Reunion de Estrategia","Discusion sobre las estrategias de ventas para el proximo trimestre","Reunion","09:00","2024-01-01"
"1","Capacitacion en Seguridad","Sesion de capacitacion en normas de seguridad laboral","Actividad","11:30","2024-01-01"
"22","Presentación de Proyecto de Innovación","Presentación de un nuevo proyecto de innovación por parte del equipo de desarrollo","Reunion","12:30","2024-01-18"
"7","Reunión con Clientes Internacionales","Reunión para discutir la expansión a mercados internacionales con clientes clave","Reunion","10:30","2024-02-14"
"31","Revisión de Campañas Publicitarias","Análisis de las campañas publicitarias del último trimestre","Reunion","10:00","2024-03-01"
"32","Reunión con Departamento de Ventas","Revisión de los objetivos de ventas y estrategias comerciales","Reunion","14:00","2024-03-02"
"33","Reunión con el Comité de Finanzas","Discusión sobre las proyecciones financieras del segundo trimestre","Reunion","09:30","2024-03-03"
"34","Capacitación en Innovación Tecnológica","Capacitación sobre el uso de nuevas herramientas tecnológicas en la empresa","Actividad","11:00","2024-03-04"
"35","Reunión con el Equipo de Desarrollo","Revisión del estado actual de los proyectos de desarrollo de software","Reunion","15:00","2024-03-05"
"36","Conferencia sobre Inteligencia Artificial","Conferencia interna sobre el impacto de la inteligencia artificial en el sector","Actividad","10:00","2024-03-06"
"37","Taller de Herramientas de Marketing","Taller para el uso de herramientas digitales en campañas de marketing","Actividad","14:30","2024-03-07"
"38","Junta Extraordinaria de Accionistas","Reunión especial con los accionistas para discutir la expansión internacional","Reunion","11:00","2024-03-08"
"39","Evento de Networking Empresarial","Evento para establecer conexiones empresariales y alianzas comerciales","Actividad","18:00","2024-03-08"
"15","Conferencia de Sustentabilidad","Conferencia sobre las políticas de sustentabilidad y responsabilidad social empresarial","Actividad","09:00","2024-03-25"
"27","Evento de Responsabilidad Social Empresarial","Evento anual para mostrar las iniciativas de responsabilidad social de la empresa","Actividad","10:30","2024-04-12"
"18","Capacitación en Leyes Laborales","Capacitación sobre las últimas actualizaciones de las leyes laborales en Chile","Actividad","09:00","2024-04-22"
"8","Lanzamiento de Producto Nuevo","Presentación interna del nuevo producto a ser lanzado en el mercado nacional","Reunion","15:00","2024-05-07"
"28","Capacitación en Manejo de Crisis","Capacitación sobre cómo manejar situaciones de crisis y contingencia en la empresa","Actividad","08:00","2024-05-19"
"41","Capacitación sobre Normativas Legales","Capacitación sobre las últimas normativas legales vigentes en Chile","Actividad","13:00","2024-06-11"
"42","Reunión con Clientes VIP","Reunión privada con los clientes más importantes para discutir nuevos contratos","Reunion","10:30","2024-06-12"
"43","Revisión de KPIs del Segundo Trimestre","Análisis de los indicadores clave de rendimiento del segundo trimestre","Reunion","14:00","2024-06-13"
"44","Capacitación en Software Empresarial","Capacitación sobre el uso de nuevo software para gestión empresarial","Actividad","09:00","2024-06-14"
"45","Reunión de Actualización de Proyectos","Reunión con el equipo para discutir avances en los proyectos de infraestructura","Reunion","11:00","2024-06-15"
"46","Evento de Bienvenida a Nuevos Empleados","Evento para dar la bienvenida a los empleados que ingresaron en el último trimestre","Actividad","17:00","2024-06-15"
"9","Capacitación en Transformación Digital","Capacitación para la implementación de nuevas herramientas tecnológicas en la empresa","Actividad","09:30","2024-06-18"
"16","Mesa Redonda con Proveedores","Reunión con proveedores clave para discutir nuevos acuerdos comerciales","Reunion","16:30","2024-06-21"
"29","Reunión con Autoridades Gubernamentales","Reunión con representantes del gobierno para tratar temas regulatorios y permisos","Reunion","17:00","2024-06-30"
"10","Revisión de Proyectos","Evaluación de los avances de los proyectos de infraestructura en Chile","Reunion","13:30","2024-07-03"
"25","Capacitación en Gestión de Proyectos","Capacitación para líderes de proyecto sobre nuevas herramientas de gestión","Actividad","13:00","2024-07-28"
"19","Evaluación de Desempeño","Evaluación anual de desempeño de los empleados de la empresa","Reunion","14:00","2024-08-15"
"4","Presentacion de Resultados","Presentacion de resultados financieros a la gerencia","Reunion","16:00","2024-08-29"
"20","Seminario sobre Marketing Digital","Seminario para actualizar conocimientos sobre las tendencias de marketing digital en Chile","Actividad","11:30","2024-09-10"
"24","Reunión de Negociación Salarial","Reunión para negociar los nuevos salarios y beneficios para el año 2025","Reunion","09:30","2024-09-15"
"5","Evento Corporativo","Celebracion anual de la empresa con todos los empleados","Actividad","19:00","2024-09-21"
"30","Evento de Aniversario de la Empresa","Celebración del aniversario número 25 de la empresa con todos los empleados","Actividad","19:00","2024-09-29"
"11","Junta Directiva","Reunión mensual con la junta directiva para revisar el estado financiero y operativo","Reunion","12:00","2024-10-05"
"47","Reunión con el Departamento de Recursos Humanos","Discusión sobre nuevas políticas de contratación y beneficios","Reunion","10:00","2024-10-07"
"48","Capacitación en Seguridad Informática","Capacitación para prevenir ataques informáticos y mejorar la seguridad digital","Actividad","12:00","2024-10-08"
"49","Taller de Liderazgo","Taller para mejorar las habilidades de liderazgo en los equipos de trabajo","Actividad","09:00","2024-10-09"
"50","Revisión de Presupuesto para el Próximo Año","Análisis de los recursos financieros necesarios para el próximo año","Reunion","15:00","2024-10-10"
"51","Capacitación en Gestión del Tiempo","Taller sobre cómo gestionar el tiempo de manera más eficiente en el trabajo","Actividad","10:00","2024-10-11"
"52","Reunión con Socios Internacionales","Discusión sobre nuevas oportunidades de negocio con socios en el extranjero","Reunion","11:00","2024-10-12"
"53","Revisión de Contratos con Proveedores","Análisis de los contratos con proveedores y posibles renovaciones","Reunion","16:00","2024-10-13"
"54","Conferencia sobre Eficiencia Energética","Evento para discutir cómo mejorar la eficiencia energética en la empresa","Actividad","09:00","2024-10-14"
"55","Reunión sobre Nuevos Proyectos de Expansión","Revisión de los planes de expansión hacia el sur de Chile","Reunion","10:00","2024-10-15"
"56","Seminario sobre Comercio Exterior","Seminario para conocer los últimos cambios en el comercio exterior de Chile","Actividad","13:30","2024-10-16"
"57","Capacitación en Ventas Digitales","Capacitación para optimizar las ventas a través de plataformas digitales","Actividad","09:00","2024-10-17"
"58","Reunión con Inversionistas Privados","Reunión privada con inversionistas para discutir nuevas oportunidades","Reunion","14:00","2024-10-18"
"59","Taller de Innovación Empresarial","Taller sobre cómo fomentar la innovación dentro de la empresa","Actividad","10:00","2024-10-19"
"60","Reunión para Revisar Metas del Año","Evaluación del progreso hacia las metas establecidas para 2024","Reunion","12:00","2024-10-20"
"21","Revisión de Planes de Expansión","Discusión sobre los planes de expansión de la empresa a otras regiones de Chile","Reunion","15:00","2024-10-28"
"26","Reunión Anual de Innovación","Reunión para revisar los logros de los proyectos de innovación en Chile","Reunion","11:00","2024-11-03"
"6","Cumple jefe francisco.","Cumpleaños de mi amigo","Actividad","10:00","2024-11-06"
"17","Revisión del Presupuesto 2024","Análisis del presupuesto anual y asignación de recursos para el próximo año","Reunion","10:00","2024-11-12"
"12","Taller de Innovación","Taller para generar nuevas ideas y soluciones creativas para la empresa","Actividad","14:30","2024-11-23"
"23","Cena de Gala Empresarial","Cena de gala para premiar a los empleados destacados del año","Actividad","20:00","2024-12-12"
